,0,1,2,3,4,5,6,7,8,9,10
contig_21200_2,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21191_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_20894_6,3.0,0.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
contig_20991_4,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_20991_3,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0
contig_20991_2,10.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
contig_20991_1,9.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0
contig_21046_4,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21046_1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21046_3,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
contig_21046_2,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21009_2,0.0,0.0,7.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0
contig_21009_3,6.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0
contig_21009_1,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0
contig_21009_4,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
contig_20977_4,3.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
contig_21040_3,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
contig_21040_2,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
contig_21040_1,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0
contig_20894_4,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
contig_21006_1,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
contig_21006_3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21006_2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0
contig_21006_5,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21006_4,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21006_6,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
contig_20933_6,2.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0
contig_20933_5,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0
contig_20933_4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
contig_20933_3,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
contig_20933_2,2.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
contig_20933_1,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_20907_6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0
contig_21087_2,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21087_3,0.0,0.0,6.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
contig_20907_7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_20907_4,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_20931_1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_20975_9,0.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0
contig_20931_3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_20931_2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
contig_20931_4,1.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0
contig_20828_10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
contig_20828_11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21044_3,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0
contig_21044_2,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0
contig_21044_1,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0
contig_21044_5,0.0,0.0,7.0,0.0,1.0,2.0,1.0,1.0,0.0,6.0,0.0
contig_21044_4,6.0,0.0,12.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0
contig_20907_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21088_3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0
contig_20826_10,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21088_2,0.0,0.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0
contig_21049_4,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
contig_21049_2,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0
contig_21049_3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_21049_1,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_21004_5,3.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
contig_21004_4,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0
contig_21004_3,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0
contig_21004_2,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0
contig_21004_1,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0
contig_21097_4,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0
contig_20926_3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_20978_4,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20978_1,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20978_2,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20978_3,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21083_4,3.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0
contig_20813_10,15.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
contig_21122_2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
contig_21122_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21122_1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
contig_21043_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21043_2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21043_3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21165_1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21165_3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21165_2,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21163_4,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0
contig_21163_3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21163_2,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_21163_1,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
contig_21186_1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_20934_14,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20934_15,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20934_12,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21128_1,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
contig_21128_2,2.0,0.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
contig_21128_3,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0
contig_21125_1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0
contig_21125_2,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0
contig_20979_4,2.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_21072_2,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_20938_1,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
contig_20938_2,9.0,0.0,11.0,1.0,0.0,2.0,1.0,1.0,1.0,6.0,0.0
contig_20938_3,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0
contig_20938_4,0.0,0.0,9.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0
contig_20938_5,0.0,0.0,6.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0
contig_20938_6,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0
contig_20979_1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
contig_21167_3,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_20936_3,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21167_1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
contig_20936_1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20936_6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20936_4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21167_4,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
contig_20805_1,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
contig_20805_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_20805_2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_20805_5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0
contig_20805_4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_20805_7,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0
contig_20805_6,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
contig_20805_9,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
contig_20805_8,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,1.0
contig_21127_5,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_21127_4,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0
contig_21127_3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21127_2,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_21127_1,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
contig_21168_1,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0
contig_21168_2,7.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0
contig_21168_3,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0
contig_20840_2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
contig_20840_3,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
contig_20840_4,2.0,0.0,10.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0
contig_20840_5,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
contig_20840_6,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_20840_7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
contig_20803_9,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20803_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_20803_3,3.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0
contig_20803_2,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
contig_20803_1,4.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
contig_20803_7,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
contig_20803_6,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
contig_20803_5,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
