,0,1,2,3
contig_18145_7,0.0,0.0,0.0,0.0
contig_18145_6,0.0,0.0,0.0,0.0
contig_18145_5,0.0,0.0,0.0,0.0
contig_18145_4,0.0,0.0,0.0,0.0
contig_18066_53,0.0,0.0,0.0,0.0
contig_18066_52,1.0,3.0,1.0,0.0
contig_18066_51,0.0,3.0,3.0,0.0
contig_18066_50,0.0,3.0,1.0,2.0
contig_18108_6,1.0,3.0,0.0,3.0
contig_18108_7,6.0,4.0,0.0,2.0
contig_18066_55,0.0,0.0,0.0,0.0
contig_18066_54,0.0,0.0,0.0,0.0
contig_18108_8,0.0,2.0,0.0,0.0
contig_18108_9,20.0,3.0,0.0,1.0
contig_18062_28,0.0,3.0,0.0,4.0
contig_18062_29,0.0,3.0,0.0,1.0
contig_18062_22,1.0,2.0,0.0,0.0
contig_18062_23,0.0,2.0,0.0,0.0
contig_18062_20,0.0,0.0,0.0,0.0
contig_18062_21,0.0,0.0,0.0,0.0
contig_18062_26,0.0,2.0,0.0,0.0
contig_18062_27,0.0,3.0,0.0,2.0
contig_18062_24,0.0,3.0,0.0,0.0
contig_18062_25,1.0,3.0,0.0,0.0
contig_18076_18,0.0,0.0,0.0,0.0
contig_18076_19,0.0,0.0,0.0,0.0
contig_18061_34,0.0,0.0,0.0,0.0
contig_18061_35,0.0,0.0,0.0,0.0
contig_18061_36,0.0,0.0,0.0,0.0
contig_18061_37,0.0,0.0,0.0,0.0
contig_18061_30,0.0,0.0,0.0,0.0
contig_18061_31,0.0,0.0,0.0,0.0
contig_18061_32,0.0,3.0,4.0,2.0
contig_18061_33,0.0,3.0,1.0,1.0
contig_18061_38,0.0,0.0,0.0,0.0
contig_18061_39,0.0,0.0,0.0,0.0
contig_18058_85,0.0,2.0,0.0,0.0
contig_18076_15,0.0,0.0,0.0,0.0
contig_18058_84,0.0,2.0,0.0,0.0
contig_18103_9,0.0,0.0,0.0,0.0
contig_18111_16,0.0,3.0,0.0,0.0
contig_18159_1,2.0,3.0,0.0,3.0
contig_18066_42,0.0,0.0,0.0,0.0
contig_18115_9,0.0,2.0,0.0,0.0
contig_18261_2,0.0,3.0,30.0,0.0
contig_18261_3,0.0,3.0,26.0,0.0
contig_18066_43,0.0,0.0,0.0,0.0
contig_18076_10,0.0,3.0,0.0,0.0
contig_18066_44,0.0,0.0,0.0,0.0
contig_18076_11,2.0,4.0,0.0,2.0
contig_18058_80,0.0,3.0,0.0,0.0
contig_18154_1,0.0,3.0,0.0,6.0
contig_18066_46,0.0,3.0,0.0,1.0
contig_18122_10,0.0,1.0,0.0,0.0
contig_18122_11,0.0,0.0,0.0,0.0
contig_18122_12,0.0,0.0,0.0,0.0
contig_18058_82,0.0,3.0,0.0,0.0
