,0,1,2
contig_18585_20,1.0,1.0,1.0
contig_18596_12,1.0,0.0,1.0
contig_18686_3,1.0,0.0,1.0
contig_18663_4,1.0,1.0,1.0
contig_18763_1,1.0,1.0,1.0
contig_18763_3,1.0,1.0,1.0
contig_18763_2,1.0,1.0,0.0
contig_18606_7,1.0,1.0,1.0
contig_18646_9,1.0,1.0,1.0
contig_18646_8,1.0,1.0,1.0
contig_18646_7,1.0,1.0,1.0
contig_18646_6,1.0,1.0,1.0
contig_18646_5,1.0,1.0,1.0
contig_18646_4,1.0,1.0,1.0
contig_18646_3,1.0,1.0,1.0
contig_18646_2,1.0,1.0,1.0
contig_18646_1,1.0,1.0,1.0
contig_18663_5,1.0,1.0,1.0
contig_18644_1,1.0,1.0,1.0
contig_18644_3,1.0,1.0,1.0
contig_18644_2,1.0,1.0,1.0
contig_18644_5,1.0,1.0,1.0
contig_18644_4,1.0,1.0,1.0
contig_18644_7,1.0,1.0,1.0
contig_18644_6,1.0,1.0,1.0
contig_18644_9,1.0,1.0,1.0
contig_18644_8,1.0,1.0,1.0
contig_18580_43,1.0,0.0,1.0
contig_18580_42,1.0,0.0,1.0
contig_18580_41,1.0,1.0,1.0
contig_18626_15,1.0,1.0,1.0
contig_18626_14,1.0,0.0,1.0
contig_18626_17,1.0,1.0,1.0
contig_18626_16,1.0,1.0,1.0
contig_18626_11,1.0,1.0,1.0
contig_18626_10,1.0,1.0,1.0
contig_18626_13,1.0,1.0,1.0
contig_18626_12,1.0,1.0,0.0
contig_18580_47,1.0,0.0,1.0
contig_18663_7,1.0,1.0,1.0
contig_18626_18,1.0,1.0,1.0
contig_18580_46,1.0,1.0,1.0
contig_18580_45,1.0,1.0,1.0
contig_18580_44,1.0,1.0,1.0
contig_18599_27,1.0,1.0,0.0
contig_18663_9,1.0,0.0,1.0
contig_18637_15,1.0,1.0,1.0
contig_18637_14,1.0,1.0,1.0
contig_18637_13,1.0,1.0,1.0
contig_18637_12,1.0,1.0,1.0
contig_18637_11,1.0,1.0,1.0
contig_18637_10,1.0,1.0,1.0
contig_18604_9,1.0,1.0,1.0
contig_18604_8,1.0,1.0,1.0
contig_18604_5,1.0,0.0,1.0
contig_18604_4,1.0,0.0,1.0
contig_18604_7,1.0,1.0,1.0
contig_18604_6,1.0,1.0,1.0
contig_18604_1,1.0,1.0,1.0
contig_18604_3,1.0,1.0,1.0
contig_18604_2,1.0,1.0,1.0
contig_18602_9,1.0,1.0,1.0
contig_18602_8,1.0,1.0,1.0
contig_18602_7,1.0,1.0,1.0
contig_18602_6,1.0,1.0,1.0
contig_18602_5,1.0,1.0,1.0
contig_18602_4,1.0,1.0,1.0
contig_18602_3,1.0,1.0,1.0
contig_18602_2,1.0,1.0,1.0
contig_18602_1,0.0,1.0,1.0
contig_18600_1,1.0,1.0,0.0
contig_18600_3,1.0,1.0,1.0
contig_18600_2,1.0,1.0,1.0
contig_18600_5,1.0,1.0,1.0
contig_18600_4,1.0,1.0,1.0
contig_18600_7,1.0,1.0,1.0
contig_18600_6,1.0,1.0,1.0
contig_18600_9,1.0,1.0,1.0
contig_18600_8,1.0,1.0,1.0
contig_18584_25,1.0,1.0,1.0
contig_18584_24,1.0,0.0,1.0
contig_18584_27,1.0,1.0,1.0
contig_18584_26,1.0,1.0,1.0
contig_18584_21,1.0,1.0,1.0
contig_18584_20,1.0,0.0,1.0
contig_18584_23,1.0,1.0,1.0
contig_18584_22,1.0,1.0,1.0
contig_18721_4,1.0,1.0,1.0
contig_18721_3,1.0,0.0,1.0
contig_18721_2,1.0,1.0,1.0
contig_18721_1,0.0,1.0,1.0
