,0,1,2,3,4,5,6
contig_21659_2,0.0,3.0,1.0,0.0,1.0,1.0,0.0
contig_21659_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21920_3,0.0,4.0,0.0,0.0,1.0,1.0,0.0
contig_21655_8,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21917_2,1.0,0.0,2.0,0.0,0.0,1.0,0.0
contig_21917_3,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21655_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21917_1,6.0,0.0,3.0,0.0,0.0,1.0,0.0
contig_21655_7,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21655_6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21917_4,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21917_5,0.0,0.0,0.0,1.0,1.0,1.0,0.0
contig_21657_9,0.0,6.0,0.0,1.0,0.0,1.0,0.0
contig_21657_8,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_21915_4,1.0,0.0,0.0,0.0,2.0,1.0,2.0
contig_21657_4,0.0,1.0,0.0,0.0,0.0,1.0,1.0
contig_21657_7,0.0,8.0,0.0,1.0,2.0,1.0,1.0
contig_21657_6,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21657_1,0.0,2.0,0.0,1.0,3.0,0.0,0.0
contig_21915_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_21915_2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_21915_3,0.0,1.0,0.0,0.0,0.0,1.0,1.0
contig_21854_4,0.0,1.0,0.0,1.0,1.0,1.0,0.0
contig_21854_5,0.0,2.0,0.0,1.0,1.0,1.0,0.0
contig_21854_1,0.0,2.0,0.0,1.0,3.0,1.0,0.0
contig_21854_2,0.0,4.0,0.0,1.0,3.0,1.0,0.0
contig_21854_3,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21645_10,0.0,4.0,0.0,1.0,0.0,1.0,0.0
contig_21884_3,0.0,1.0,0.0,1.0,0.0,1.0,1.0
contig_21852_6,0.0,0.0,0.0,1.0,1.0,1.0,1.0
contig_21852_7,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_21852_4,0.0,3.0,0.0,0.0,2.0,0.0,0.0
contig_21852_5,0.0,3.0,0.0,0.0,1.0,1.0,0.0
contig_21852_2,3.0,5.0,8.0,1.0,0.0,1.0,0.0
contig_21852_3,5.0,3.0,0.0,0.0,0.0,0.0,0.0
contig_21852_1,0.0,3.0,0.0,1.0,0.0,1.0,0.0
contig_21692_4,0.0,4.0,0.0,0.0,2.0,1.0,1.0
contig_21692_5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21692_6,0.0,4.0,1.0,0.0,0.0,1.0,0.0
contig_21692_1,0.0,0.0,1.0,1.0,0.0,1.0,0.0
contig_21692_2,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21692_3,5.0,0.0,5.0,1.0,4.0,1.0,2.0
contig_21850_1,0.0,7.0,0.0,1.0,0.0,1.0,1.0
contig_21850_2,0.0,4.0,0.0,1.0,0.0,1.0,0.0
contig_21850_3,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21850_4,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_21850_5,0.0,0.0,0.0,1.0,0.0,1.0,0.0
