,0,1
contig_20011_5,0.0,1.0
contig_20013_8,0.0,2.0
contig_20013_4,0.0,0.0
contig_20013_5,0.0,0.0
contig_20013_6,0.0,0.0
contig_20013_7,0.0,0.0
contig_20094_3,0.0,0.0
contig_20013_1,0.0,0.0
contig_20013_2,0.0,0.0
contig_20013_3,0.0,0.0
contig_20057_4,0.0,1.0
contig_20057_5,0.0,1.0
contig_20057_6,0.0,1.0
contig_20057_7,0.0,1.0
contig_20057_2,0.0,1.0
contig_20057_3,0.0,1.0
contig_20015_6,0.0,0.0
contig_20015_4,0.0,0.0
contig_20015_5,0.0,0.0
contig_20015_2,0.0,1.0
contig_20015_3,0.0,1.0
contig_20015_1,1.0,1.0
contig_20274_3,3.0,0.0
contig_20274_2,0.0,0.0
contig_20051_4,0.0,1.0
contig_20051_5,0.0,1.0
contig_20051_2,0.0,0.0
contig_20051_3,0.0,0.0
contig_20051_1,0.0,0.0
contig_20177_1,2.0,1.0
contig_20140_4,15.0,0.0
contig_20279_2,0.0,0.0
contig_20279_3,0.0,0.0
contig_20279_1,0.0,0.0
contig_20234_4,1.0,1.0
contig_20234_3,5.0,1.0
contig_20234_2,6.0,1.0
contig_20234_1,0.0,1.0
contig_20090_3,0.0,1.0
contig_20090_2,0.0,1.0
contig_20090_1,1.0,1.0
contig_20090_4,0.0,1.0
contig_19965_8,0.0,0.0
contig_19965_6,0.0,0.0
contig_19965_7,0.0,0.0
contig_19965_4,0.0,0.0
contig_19965_5,0.0,0.0
contig_19965_2,0.0,0.0
contig_19965_3,0.0,1.0
contig_19965_1,0.0,1.0
contig_20172_2,0.0,1.0
contig_20172_3,0.0,2.0
contig_20172_1,0.0,0.0
contig_20172_4,0.0,1.0
contig_19967_1,4.0,1.0
contig_19967_2,0.0,1.0
contig_19967_3,0.0,0.0
contig_19967_4,0.0,1.0
contig_19967_5,2.0,0.0
contig_19967_6,0.0,0.0
contig_19967_7,0.0,0.0
contig_19967_8,0.0,0.0
contig_19967_9,0.0,0.0
contig_19969_2,0.0,0.0
contig_19969_3,0.0,0.0
contig_20273_2,0.0,0.0
contig_19969_1,0.0,0.0
contig_19969_6,1.0,1.0
contig_19969_7,0.0,1.0
contig_19969_4,0.0,0.0
contig_19969_5,1.0,1.0
contig_19969_8,0.0,0.0
contig_19969_9,0.0,0.0
contig_20135_4,3.0,0.0
contig_20135_1,4.0,1.0
contig_20135_3,0.0,0.0
contig_20135_2,0.0,0.0
contig_20133_5,1.0,0.0
contig_20133_4,0.0,0.0
contig_20133_3,1.0,0.0
contig_20133_2,4.0,0.0
contig_20133_1,0.0,0.0
contig_20178_1,0.0,0.0
contig_20178_2,0.0,0.0
contig_20178_3,0.0,1.0
contig_19961_8,0.0,1.0
contig_19961_9,0.0,1.0
contig_19961_2,0.0,0.0
contig_19961_3,0.0,0.0
contig_19961_1,0.0,1.0
contig_19961_6,0.0,1.0
contig_19961_7,0.0,1.0
contig_19961_4,0.0,0.0
contig_19961_5,0.0,0.0
contig_19963_8,0.0,0.0
contig_19963_9,0.0,1.0
contig_19963_4,0.0,1.0
contig_19963_5,0.0,0.0
contig_19963_6,0.0,0.0
contig_19963_7,0.0,0.0
contig_19963_1,0.0,0.0
contig_19963_2,0.0,0.0
contig_19963_3,0.0,1.0
contig_20175_1,1.0,0.0
contig_20175_3,2.0,0.0
contig_20175_2,0.0,0.0
contig_20175_4,0.0,1.0
contig_20045_11,3.0,1.0
contig_20045_10,0.0,1.0
contig_19958_10,0.0,0.0
contig_19958_11,0.0,1.0
contig_19958_12,3.0,1.0
contig_20137_3,1.0,1.0
contig_20137_2,1.0,1.0
contig_20137_1,0.0,1.0
contig_19952_5,0.0,0.0
contig_20381_2,0.0,0.0
contig_20381_1,0.0,0.0
contig_20378_2,0.0,1.0
contig_20378_1,0.0,1.0
contig_20177_3,0.0,1.0
contig_20177_2,0.0,1.0
contig_20383_2,0.0,1.0
contig_20383_3,5.0,1.0
contig_20138_1,0.0,1.0
contig_20138_2,0.0,1.0
contig_20138_3,0.0,0.0
contig_20385_2,0.0,1.0
contig_20138_5,0.0,0.0
contig_20385_1,0.0,1.0
contig_20130_1,0.0,0.0
contig_20130_2,0.0,0.0
contig_20130_3,0.0,1.0
contig_20130_4,0.0,1.0
contig_20103_2,1.0,1.0
contig_20103_3,2.0,1.0
contig_20377_1,1.0,1.0
contig_20371_4,0.0,1.0
contig_20371_3,0.0,0.0
contig_20371_2,0.0,0.0
contig_20371_1,0.0,0.0
contig_20103_4,0.0,1.0
contig_19945_9,0.0,0.0
contig_20373_1,0.0,1.0
contig_20290_1,0.0,0.0
contig_20373_3,0.0,1.0
contig_20373_2,0.0,1.0
contig_20290_3,0.0,1.0
contig_19994_2,0.0,0.0
contig_19994_3,0.0,0.0
contig_19994_1,0.0,0.0
contig_19994_6,0.0,1.0
contig_19994_7,0.0,0.0
contig_19994_4,0.0,0.0
contig_19994_5,0.0,0.0
contig_19994_8,0.0,0.0
contig_19994_9,0.0,0.0
contig_20101_4,0.0,1.0
contig_20097_3,0.0,0.0
contig_20101_5,0.0,1.0
contig_20375_2,2.0,1.0
contig_20375_1,0.0,2.0
contig_20034_3,0.0,1.0
contig_20034_2,0.0,3.0
contig_20392_1,0.0,1.0
contig_19998_6,8.0,1.0
contig_19998_7,9.0,1.0
contig_19998_4,0.0,0.0
contig_19998_5,0.0,0.0
