,0,1,2
contig_18584_14,0.0,0.0,1.0
contig_18584_15,0.0,0.0,1.0
contig_18584_16,0.0,0.0,1.0
contig_18584_17,0.0,0.0,1.0
contig_18667_1,0.0,0.0,1.0
contig_18587_29,0.0,0.0,1.0
contig_18588_8,0.0,0.0,1.0
contig_18631_20,2.0,0.0,1.0
contig_18631_21,2.0,3.0,1.0
contig_18631_22,0.0,2.0,1.0
contig_18588_9,0.0,0.0,1.0
contig_18716_2,0.0,0.0,1.0
contig_18583_36,0.0,0.0,1.0
contig_18579_47,0.0,0.0,1.0
contig_18579_46,0.0,0.0,1.0
contig_18579_45,0.0,1.0,1.0
contig_18579_44,0.0,0.0,1.0
contig_18579_43,0.0,1.0,1.0
contig_18579_42,0.0,0.0,1.0
contig_18579_41,0.0,0.0,1.0
contig_18579_40,0.0,0.0,1.0
contig_18580_18,0.0,0.0,1.0
contig_18580_19,0.0,1.0,1.0
contig_18579_49,2.0,0.0,1.0
contig_18579_48,1.0,0.0,1.0
contig_18603_17,0.0,0.0,1.0
contig_18586_18,0.0,0.0,1.0
contig_18586_19,0.0,0.0,1.0
contig_18586_16,0.0,0.0,1.0
contig_18586_17,0.0,0.0,1.0
contig_18586_14,0.0,0.0,1.0
contig_18586_15,0.0,0.0,1.0
contig_18586_12,0.0,2.0,0.0
contig_18586_13,0.0,0.0,1.0
contig_18599_22,0.0,1.0,1.0
contig_18586_11,0.0,1.0,1.0
contig_18577_41,0.0,0.0,1.0
contig_18577_40,0.0,0.0,1.0
contig_18577_43,0.0,0.0,1.0
contig_18577_42,0.0,0.0,1.0
contig_18577_45,0.0,0.0,1.0
contig_18577_44,0.0,0.0,1.0
contig_18577_47,0.0,0.0,1.0
contig_18577_46,0.0,0.0,1.0
contig_18577_49,0.0,0.0,1.0
contig_18577_48,0.0,0.0,1.0
contig_18651_3,0.0,0.0,1.0
contig_18651_2,0.0,0.0,1.0
contig_18663_1,1.0,0.0,1.0
contig_18585_22,0.0,0.0,1.0
contig_18663_2,0.0,0.0,1.0
contig_18588_3,0.0,0.0,1.0
contig_18585_23,0.0,0.0,1.0
contig_18663_3,1.0,0.0,1.0
contig_18761_3,0.0,0.0,1.0
contig_18761_2,0.0,0.0,1.0
contig_18761_1,0.0,0.0,1.0
contig_18585_20,0.0,0.0,1.0
contig_18596_12,0.0,0.0,1.0
contig_18686_3,0.0,0.0,1.0
contig_18663_4,0.0,1.0,1.0
contig_18763_1,0.0,0.0,0.0
contig_18763_3,0.0,0.0,1.0
contig_18763_2,0.0,0.0,0.0
contig_18606_7,0.0,0.0,1.0
contig_18646_9,0.0,0.0,1.0
contig_18646_8,1.0,0.0,1.0
contig_18646_7,1.0,0.0,1.0
contig_18646_6,0.0,1.0,1.0
contig_18646_5,0.0,5.0,0.0
contig_18646_4,0.0,7.0,0.0
contig_18646_3,0.0,0.0,1.0
contig_18646_2,0.0,3.0,1.0
contig_18646_1,0.0,4.0,0.0
contig_18663_5,0.0,0.0,1.0
contig_18644_1,0.0,0.0,1.0
contig_18644_3,1.0,0.0,1.0
contig_18644_2,0.0,0.0,1.0
contig_18644_5,0.0,0.0,1.0
contig_18644_4,0.0,0.0,1.0
contig_18644_7,0.0,1.0,1.0
contig_18644_6,1.0,0.0,1.0
contig_18644_9,0.0,0.0,1.0
contig_18644_8,1.0,0.0,1.0
contig_18580_43,0.0,0.0,1.0
contig_18580_42,0.0,1.0,1.0
contig_18580_41,0.0,0.0,1.0
contig_18626_15,0.0,1.0,1.0
contig_18626_14,0.0,0.0,1.0
contig_18626_17,0.0,1.0,1.0
contig_18626_16,0.0,0.0,1.0
contig_18626_11,0.0,0.0,1.0
contig_18626_10,0.0,0.0,1.0
contig_18626_13,0.0,0.0,1.0
contig_18626_12,0.0,0.0,0.0
contig_18580_47,0.0,0.0,1.0
contig_18663_7,0.0,0.0,1.0
contig_18626_18,0.0,0.0,1.0
contig_18580_46,0.0,0.0,1.0
contig_18580_45,2.0,1.0,1.0
contig_18580_44,1.0,3.0,1.0
contig_18599_27,0.0,0.0,0.0
contig_18663_9,0.0,0.0,1.0
contig_18637_15,0.0,0.0,1.0
contig_18637_14,0.0,0.0,1.0
contig_18637_13,0.0,0.0,1.0
contig_18637_12,0.0,0.0,1.0
contig_18637_11,0.0,0.0,1.0
contig_18637_10,0.0,0.0,1.0
contig_18604_9,0.0,0.0,1.0
contig_18604_8,0.0,0.0,1.0
contig_18604_5,0.0,0.0,1.0
contig_18604_4,0.0,0.0,1.0
contig_18604_7,0.0,0.0,1.0
contig_18604_6,0.0,0.0,1.0
contig_18604_1,0.0,0.0,1.0
contig_18604_3,0.0,0.0,1.0
contig_18604_2,0.0,0.0,1.0
contig_18602_9,0.0,0.0,1.0
contig_18602_8,0.0,1.0,1.0
contig_18602_7,0.0,0.0,1.0
contig_18602_6,0.0,0.0,1.0
contig_18602_5,0.0,0.0,1.0
contig_18602_4,0.0,0.0,1.0
contig_18602_3,1.0,0.0,1.0
contig_18602_2,0.0,0.0,1.0
contig_18602_1,0.0,0.0,1.0
contig_18600_1,0.0,0.0,0.0
contig_18600_3,0.0,2.0,2.0
contig_18600_2,0.0,4.0,1.0
contig_18600_5,1.0,0.0,1.0
contig_18600_4,0.0,1.0,1.0
contig_18600_7,0.0,0.0,1.0
contig_18600_6,1.0,0.0,1.0
contig_18600_9,0.0,1.0,1.0
contig_18600_8,0.0,0.0,1.0
contig_18584_25,0.0,0.0,1.0
contig_18584_24,0.0,0.0,1.0
contig_18584_27,0.0,0.0,1.0
contig_18584_26,0.0,0.0,1.0
contig_18584_21,0.0,0.0,1.0
contig_18584_20,0.0,0.0,1.0
contig_18584_23,0.0,0.0,1.0
contig_18584_22,0.0,0.0,1.0
contig_18721_4,0.0,0.0,1.0
contig_18721_3,0.0,0.0,1.0
contig_18721_2,2.0,4.0,0.0
contig_18721_1,0.0,0.0,0.0
contig_18723_1,0.0,1.0,1.0
contig_18608_8,0.0,0.0,1.0
contig_18723_3,0.0,0.0,1.0
contig_18723_2,0.0,0.0,1.0
contig_18723_5,0.0,0.0,1.0
contig_18723_4,0.0,0.0,1.0
contig_18599_28,0.0,0.0,1.0
contig_18608_1,0.0,5.0,0.0
contig_18599_26,0.0,0.0,0.0
contig_18608_3,0.0,0.0,1.0
contig_18608_2,0.0,0.0,1.0
contig_18608_5,0.0,0.0,1.0
contig_18608_4,0.0,2.0,1.0
contig_18608_7,0.0,0.0,1.0
contig_18608_6,0.0,0.0,1.0
contig_18631_19,4.0,0.0,1.0
contig_18631_18,2.0,0.0,1.0
contig_18606_9,0.0,0.0,1.0
contig_18606_8,0.0,0.0,1.0
contig_18643_6,0.0,0.0,1.0
contig_18643_7,0.0,0.0,1.0
contig_18643_4,0.0,1.0,1.0
contig_18643_5,0.0,0.0,1.0
contig_18631_11,0.0,0.0,1.0
contig_18606_2,0.0,0.0,1.0
contig_18606_1,0.0,0.0,1.0
contig_18631_12,0.0,0.0,1.0
contig_18631_15,1.0,0.0,1.0
contig_18606_6,0.0,0.0,1.0
contig_18631_17,3.0,0.0,1.0
contig_18606_4,0.0,0.0,1.0
contig_18620_20,0.0,0.0,1.0
contig_18579_54,1.0,1.0,1.0
contig_18579_55,0.0,0.0,1.0
contig_18579_56,0.0,0.0,1.0
contig_18579_57,0.0,0.0,1.0
contig_18649_8,0.0,0.0,1.0
